date,close,high,low,open,volume
2020-07-09 00:00:00+00:00,244.5,246.53,239.24,245.0,22175054
2020-07-10 00:00:00+00:00,245.07,245.49,239.32,243.69,22982716
2020-07-13 00:00:00+00:00,239.0,250.15,238.42,247.01,24674883
2020-07-14 00:00:00+00:00,239.73,240.33,232.03,236.76,23378056
2020-07-15 00:00:00+00:00,240.28,244.82,238.05,241.55,19134627
2020-07-16 00:00:00+00:00,240.93,241.76,236.33,238.0,18880800
2020-07-17 00:00:00+00:00,242.03,244.16,237.86,241.0,18152413
2020-07-20 00:00:00+00:00,245.42,246.05,235.64,240.06,20797388
2020-07-21 00:00:00+00:00,241.75,246.91,240.08,246.22,18646840
2020-07-22 00:00:00+00:00,239.87,241.9,238.12,240.26,15427885
2020-07-23 00:00:00+00:00,232.6,242.42,231.75,239.63,21771802
2020-07-24 00:00:00+00:00,230.71,233.49,226.9,230.19,18325813
2020-07-27 00:00:00+00:00,233.5,234.95,230.83,231.46,13163083
2020-07-28 00:00:00+00:00,230.12,234.96,229.83,234.63,14170112
2020-07-29 00:00:00+00:00,233.29,233.7,230.31,231.14,13588317
2020-07-30 00:00:00+00:00,234.5,234.893,229.0,230.22,20615306
2020-07-31 00:00:00+00:00,253.67,255.85,249.0,255.82,53030037
2020-08-03 00:00:00+00:00,251.96,255.4,250.33,252.65,23134103
2020-08-04 00:00:00+00:00,249.83,252.8,247.43,251.56,17183533
2020-08-05 00:00:00+00:00,249.12,252.2698,247.77,250.19,13088361
2020-08-06 00:00:00+00:00,265.28,266.6,248.665,249.04,45241611
2020-08-07 00:00:00+00:00,268.44,278.89,263.43,264.08,72766364
2020-08-10 00:00:00+00:00,263.0,273.86,259.69,268.04,30248826
2020-08-11 00:00:00+00:00,256.13,265.915,255.13,260.185,28238283
2020-08-12 00:00:00+00:00,259.89,263.8973,258.1125,258.97,21428329
2020-08-13 00:00:00+00:00,261.3,265.16,259.57,261.55,17373970
2020-08-14 00:00:00+00:00,261.24,262.65,258.6801,262.305,14792708
2020-08-17 00:00:00+00:00,261.16,264.0973,259.4,262.5,13303174
2020-08-18 00:00:00+00:00,262.34,265.15,259.26,260.95,18690383
2020-08-19 00:00:00+00:00,262.59,267.908,261.35,261.388,23291463
2020-08-20 00:00:00+00:00,269.01,269.63,261.46,261.5,20299688
2020-08-21 00:00:00+00:00,267.01,270.49,266.42,268.69,15538615
2020-08-24 00:00:00+00:00,271.39,277.2478,268.7701,271.07,23685603
2020-08-25 00:00:00+00:00,280.82,283.09,270.2601,272.41,42127240
2020-08-26 00:00:00+00:00,303.91,304.67,284.0,284.0,69015151
2020-08-27 00:00:00+00:00,293.22,301.23,292.02,300.16,30301309
2020-08-28 00:00:00+00:00,293.66,297.23,290.98,295.0,17172415
2020-08-31 00:00:00+00:00,293.2,296.88,291.55,293.95,17345134
2020-09-01 00:00:00+00:00,295.44,301.49,292.71,294.71,17320872
2020-09-02 00:00:00+00:00,302.5,303.6,293.05,298.88,24341369
2020-09-03 00:00:00+00:00,291.12,297.6,283.63,295.99,32294092
2020-09-04 00:00:00+00:00,282.73,289.0,271.14,287.25,30333671
