date,close,high,low,open,volume
2020-07-06 00:00:00+00:00,210.7,211.13,208.09,208.83,32033747
2020-07-07 00:00:00+00:00,208.25,214.67,207.99,210.45,33600749
2020-07-08 00:00:00+00:00,212.83,213.26,208.69,210.07,33602226
2020-07-09 00:00:00+00:00,214.32,216.38,211.47,216.33,33122280
2020-07-10 00:00:00+00:00,213.67,214.08,211.08,213.62,26178663
2020-07-13 00:00:00+00:00,207.07,215.8,206.5,214.48,38135816
2020-07-14 00:00:00+00:00,208.35,208.85,202.03,206.13,37598121
2020-07-15 00:00:00+00:00,208.04,211.33,205.03,209.56,32248893
2020-07-16 00:00:00+00:00,203.92,205.7,202.31,205.4,29940718
2020-07-17 00:00:00+00:00,202.88,205.04,201.39,204.47,31636070
2020-07-20 00:00:00+00:00,211.6,212.3,203.01,205.0,36386080
2020-07-21 00:00:00+00:00,208.75,213.94,208.03,213.66,37702523
2020-07-22 00:00:00+00:00,211.75,212.3,208.39,209.2,49605692
2020-07-23 00:00:00+00:00,202.54,210.92,202.15,207.19,67457035
2020-07-24 00:00:00+00:00,201.3,202.86,197.51,200.42,39826989
2020-07-27 00:00:00+00:00,203.85,203.97,200.86,201.47,30160867
2020-07-28 00:00:00+00:00,202.02,204.7,201.74,203.61,23251388
2020-07-29 00:00:00+00:00,204.06,204.65,202.01,202.5,19632602
2020-07-30 00:00:00+00:00,203.9,204.46,199.57,201.0,25079596
2020-07-31 00:00:00+00:00,205.01,205.1,199.01,204.4,51247969
2020-08-03 00:00:00+00:00,216.54,217.64,210.44,211.52,78983009
2020-08-04 00:00:00+00:00,213.29,214.77,210.31,214.17,49280056
2020-08-05 00:00:00+00:00,212.94,215.0,211.57,214.9,28858621
2020-08-06 00:00:00+00:00,216.35,216.3705,211.55,212.34,32656843
2020-08-07 00:00:00+00:00,212.48,215.7,210.93,214.85,27820421
2020-08-10 00:00:00+00:00,208.25,211.88,206.35,211.67,36716462
2020-08-11 00:00:00+00:00,203.38,207.65,203.14,207.155,36446459
2020-08-12 00:00:00+00:00,209.19,210.28,204.75,205.29,28041364
2020-08-13 00:00:00+00:00,208.7,211.35,208.15,209.44,22588870
2020-08-14 00:00:00+00:00,208.9,209.59,207.51,208.76,17958936
2020-08-17 00:00:00+00:00,210.28,211.1874,208.915,209.6,20063496
2020-08-18 00:00:00+00:00,211.49,212.36,209.21,210.53,21336167
2020-08-19 00:00:00+00:00,209.7,212.1,209.25,211.49,27627561
2020-08-20 00:00:00+00:00,214.58,215.0,208.91,209.54,26981478
2020-08-21 00:00:00+00:00,213.02,216.25,212.85,213.86,36249319
2020-08-24 00:00:00+00:00,213.69,215.52,212.43,214.79,25460147
2020-08-25 00:00:00+00:00,216.47,216.61,213.1,213.1,23043696
2020-08-26 00:00:00+00:00,221.15,222.09,217.36,217.88,39600828
2020-08-27 00:00:00+00:00,226.58,231.15,219.4,222.89,57602195
2020-08-28 00:00:00+00:00,228.91,230.644,226.58,228.18,26292896
2020-08-31 00:00:00+00:00,225.53,228.7,224.31,227.0,28774156
2020-09-01 00:00:00+00:00,227.27,227.45,224.43,225.51,25791235
2020-09-02 00:00:00+00:00,231.65,232.86,227.35,227.97,34080839
2020-09-03 00:00:00+00:00,217.3,229.31,214.9602,229.27,58400288
2020-09-04 00:00:00+00:00,214.25,218.3599,205.19,215.1,59664072
2020-09-08 00:00:00+00:00,202.66,210.03,202.2,206.5,52924330
2020-09-09 00:00:00+00:00,211.29,214.8399,206.7,207.6,45678986
2020-09-10 00:00:00+00:00,205.37,214.74,204.11,213.4,35461514
2020-09-11 00:00:00+00:00,204.03,208.63,201.24,207.2,33620073
2020-09-14 00:00:00+00:00,205.41,209.2,204.03,204.24,30375768
2020-09-15 00:00:00+00:00,208.78,209.78,206.93,208.42,21823942
2020-09-16 00:00:00+00:00,205.05,210.65,204.64,210.62,26372464
2020-09-17 00:00:00+00:00,202.91,204.33,199.96,200.05,34011257
2020-09-18 00:00:00+00:00,200.39,203.65,196.25,202.8,55225326
2020-09-21 00:00:00+00:00,202.54,202.71,196.38,197.19,39839657
2020-09-22 00:00:00+00:00,207.42,208.1,202.075,205.06,33517065
2020-09-23 00:00:00+00:00,200.59,208.1,200.03,207.9,30803780
2020-09-24 00:00:00+00:00,203.19,205.57,199.2,199.85,31202493
2020-09-25 00:00:00+00:00,207.82,209.04,202.54,203.55,29437312
2020-09-28 00:00:00+00:00,209.44,212.57,208.06,210.88,32004936
2020-09-29 00:00:00+00:00,207.26,210.07,206.81,209.35,24464472
2020-09-30 00:00:00+00:00,210.33,211.98,206.54,207.73,33829088
2020-10-01 00:00:00+00:00,212.46,213.99,211.32,213.49,27158418
2020-10-02 00:00:00+00:00,206.19,210.99,205.54,208.0,33154781
2020-10-05 00:00:00+00:00,210.38,210.41,206.98,207.22,21331561
2020-10-06 00:00:00+00:00,205.91,210.18,204.82,208.82,28554261
2020-10-07 00:00:00+00:00,209.83,210.11,206.72,207.06,25681054
2020-10-08 00:00:00+00:00,210.58,211.19,208.32,210.51,19925837
2020-10-09 00:00:00+00:00,215.81,215.86,211.23,211.23,26458047
2020-10-12 00:00:00+00:00,221.4,223.86,216.81,218.79,40461368
2020-10-13 00:00:00+00:00,222.86,225.21,220.43,222.72,28950843
2020-10-14 00:00:00+00:00,220.86,224.22,219.13,223.0,23451713
2020-10-15 00:00:00+00:00,219.66,220.36,216.01,217.1,22733064
2020-10-16 00:00:00+00:00,219.66,222.29,219.32,220.15,26057882
2020-10-19 00:00:00+00:00,214.22,222.3,213.72,220.415,27625841
2020-10-20 00:00:00+00:00,214.65,217.37,213.0901,215.8,22753511
2020-10-21 00:00:00+00:00,214.8,216.92,213.12,213.12,22724906
2020-10-22 00:00:00+00:00,214.89,216.055,211.7,213.93,22351450
2020-10-23 00:00:00+00:00,216.23,216.28,213.16,215.03,18879608
2020-10-26 00:00:00+00:00,210.08,216.3399,208.1,213.85,37111561
2020-10-27 00:00:00+00:00,213.25,214.67,210.329,211.59,36700325
2020-10-28 00:00:00+00:00,202.68,208.84,202.1,207.67,51195593
2020-10-29 00:00:00+00:00,204.72,207.36,203.37,204.07,31432563
2020-10-30 00:00:00+00:00,202.47,204.29,199.62,203.5,36980111
2020-11-02 00:00:00+00:00,202.33,205.28,200.12,204.29,30842163
2020-11-03 00:00:00+00:00,206.43,208.12,203.12,203.89,27512030
2020-11-04 00:00:00+00:00,216.39,218.32,212.4185,214.02,42311777
2020-11-05 00:00:00+00:00,223.29,224.12,221.15,222.04,36080137
2020-11-06 00:00:00+00:00,223.72,224.36,218.03,222.26,25231895
2020-11-09 00:00:00+00:00,218.39,228.12,217.88,224.435,44394950
2020-11-10 00:00:00+00:00,211.01,216.5,209.72,214.5,44045120
2020-11-11 00:00:00+00:00,216.55,218.04,212.2,212.39,29440788
2020-11-12 00:00:00+00:00,215.44,219.11,214.46,217.21,21616115
2020-11-13 00:00:00+00:00,216.51,217.42,214.16,216.36,18630307
2020-11-16 00:00:00+00:00,217.23,217.74,214.52,214.87,24953344
2020-11-17 00:00:00+00:00,214.46,217.68,214.08,216.1,24154112
2020-11-18 00:00:00+00:00,211.08,215.17,210.93,213.65,28372789
2020-11-19 00:00:00+00:00,212.42,213.03,209.93,211.38,24792746
2020-11-20 00:00:00+00:00,210.39,213.285,210.0,212.2,22843119
2020-11-23 00:00:00+00:00,210.11,212.29,208.16,210.95,25683507
2020-11-24 00:00:00+00:00,213.86,214.25,208.86,209.59,33830438
2020-11-25 00:00:00+00:00,213.87,215.29,212.46,215.11,21012887
2020-11-27 00:00:00+00:00,215.23,216.27,214.04,214.85,14512213
2020-11-30 00:00:00+00:00,214.07,214.76,210.835,214.1,33064753
2020-12-01 00:00:00+00:00,216.21,217.32,213.35,214.51,30498026
2020-12-02 00:00:00+00:00,215.37,215.47,212.8,214.88,23724509
2020-12-03 00:00:00+00:00,214.24,216.3757,213.65,214.61,25120922
2020-12-04 00:00:00+00:00,214.36,215.38,213.18,214.22,24666039
2020-12-07 00:00:00+00:00,214.29,215.54,212.99,214.37,24619997
2020-12-08 00:00:00+00:00,216.01,216.95,212.89,213.97,23284094
2020-12-09 00:00:00+00:00,211.8,215.225,211.214,215.16,32440603
2020-12-10 00:00:00+00:00,210.52,213.08,210.36,211.77,26467017
2020-12-11 00:00:00+00:00,213.26,213.32,209.11,210.05,30979440
2020-12-14 00:00:00+00:00,214.2,216.21,212.88,213.1,28798379
2020-12-15 00:00:00+00:00,214.13,215.42,212.24,215.165,27018106
2020-12-16 00:00:00+00:00,219.28,220.11,214.72,214.75,35023253
2020-12-17 00:00:00+00:00,219.42,220.89,217.92,219.87,32515784
2020-12-18 00:00:00+00:00,218.59,219.69,216.02,218.59,63354922
2020-12-21 00:00:00+00:00,222.59,224.0,217.2801,217.55,37181886
2020-12-22 00:00:00+00:00,223.94,225.63,221.85,222.69,22643397
2020-12-23 00:00:00+00:00,221.02,223.5589,220.8,223.11,18699638
2020-12-24 00:00:00+00:00,222.75,223.61,221.2,221.42,10550572
2020-12-28 00:00:00+00:00,224.96,226.03,223.02,224.45,17762701
2020-12-29 00:00:00+00:00,224.15,227.18,223.58,226.31,17403213
2020-12-30 00:00:00+00:00,221.68,225.63,221.47,225.23,20272337
2020-12-31 00:00:00+00:00,222.42,223.0,219.68,221.7,20942132
2021-01-04 00:00:00+00:00,217.69,223.0,214.81,222.53,37130139
2021-01-05 00:00:00+00:00,217.9,218.52,215.7,217.26,23822953
2021-01-06 00:00:00+00:00,212.25,216.4899,211.94,212.17,35930653
2021-01-07 00:00:00+00:00,218.29,219.34,213.71,214.04,27694480
2021-01-08 00:00:00+00:00,219.62,220.58,217.0261,218.68,22956206
2021-01-11 00:00:00+00:00,217.49,218.91,216.73,218.47,23047029
2021-01-12 00:00:00+00:00,214.93,217.1,213.3202,216.5,23148341
2021-01-13 00:00:00+00:00,216.34,216.76,213.9266,214.02,20087080
2021-01-14 00:00:00+00:00,213.02,217.46,212.74,215.91,29346737
2021-01-15 00:00:00+00:00,212.65,214.51,212.03,213.52,31746512
2021-01-19 00:00:00+00:00,216.44,216.98,212.63,213.75,30480859
